UUID.x	Superpopulation.code
336cc385-430f-5e34-b2a7-c205fd65ecca	NoCODE
33d00abf-9343-52d7-a60a-60d8e0942619	NoCODE
33ffb28c-0e48-564e-b8ef-a4218506d34e	NoCODE
34012dc9-28b6-55bd-94c9-9307ab380103	AMR
34996d93-e640-56ec-956a-0ff0715a5f9c	NoCODE
34a3d392-b081-5622-9747-dd32cebb11fe	NoCODE
34ac1c27-9876-59ee-aff6-8d4fb2ebec26	NoCODE
34c3a0d8-835b-5eea-8edf-404a9995dffc	NoCODE
34e7a384-224d-5a2c-8551-590cf696de10	NoCODE
3507e7be-2f4e-5437-8275-bef53eae11c5	NoCODE
3546cb8e-adb0-5cfa-9c35-3cc636b82f03	NoCODE
354f43d7-de7a-5331-a41e-a6f8052e0bce	NoCODE
35551858-1514-58af-af28-1ac0e4f1886e	EUR
3571a5e5-7203-5f33-aa52-38aff91833e7	SAS
357382a7-2dac-5c77-bc6d-5a1ed7124639	SAS
3591283b-852f-5a71-9acd-9903fcaafef8	NoCODE
35ad1404-9860-5bcd-a298-2305b1873605	AFR
36171b40-5949-58ed-91e0-ddc1f403cf14	NoCODE
364dc63a-7aad-5d95-8287-b7592f9e53fe	NoCODE
369bb15b-bae7-5654-b424-86ad9b20e77c	NoCODE
38883762-db2f-5cfb-9024-a4cc7c706ab8	NoCODE
38eef3e0-ca67-51e9-8910-2e548d311e05	AMR
396a2111-9920-58d0-879d-df77728347ae	NoCODE
39970161-045a-5169-af95-4d8c3c976c01	NoCODE
399c2e1c-1524-5541-a3c7-ae8a75522903	NoCODE
39b349a9-e299-5cac-8a3d-68c742c124fb	NoCODE
3a3bc7df-2984-5324-a623-106ecbeb6166	NoCODE
3aac2e6f-00da-5fd2-92c8-e69d41a67389	NoCODE
3af69cc2-5a95-5161-a3ae-88dc9b2f2d38	NoCODE
3b12761b-4c19-5439-8f45-c3ffbcaf5a9d	NoCODE
3b32bf02-0f5b-571e-a727-ac49bec2b6a1	NoCODE
3b3f8d70-1320-5e3b-8804-a1f61ca5cf74	NoCODE
3b725385-a2c2-5006-b609-f77cbfd7533b	NoCODE
3b96a2fe-c1e2-5828-bc22-da851fe2a7ab	NoCODE
3b978db4-d123-53a8-b405-7f4f822da929	AMR
3bdbb58d-2754-5e42-b6c5-700ac1eb5552	NoCODE
3bf90f27-e58f-5037-bb05-3053043f27c6	EUR
3c68ca4b-e9b3-5bbc-aa6a-53206c138cf3	NoCODE
3c84cd11-19a7-5e9d-be09-10318fc451a9	NoCODE
3cfe3db0-39a5-57f3-be93-ff3a766deda1	NoCODE
3d488b61-b0f5-5b67-9e22-a77adf48dfcf	NoCODE
3dbf9d4b-628f-5092-baf7-cb16afc717b4	NoCODE
3e2078d6-7922-5fea-be18-2cca23b24ea7	NoCODE
3e21967a-d45d-5bdf-8aa6-1268c2419ba8	NoCODE
3e2621a7-0138-5404-9cf9-2591a24f0293	NoCODE
3edc2a98-7ba6-58d6-854e-aa8abfe2604b	NoCODE
3f5af0cc-76d7-5c7d-bb6a-f352afdce5b2	NoCODE
3f66aa49-95af-5c42-8dd2-118f8557b440	NoCODE
3fb6aab3-b281-5f54-adfe-5df395abb130	NoCODE
40189a0c-ee6e-5d37-9820-161235303df3	NoCODE
40398458-b095-562a-b435-0790d2c8c6d6	NoCODE
403ed174-197a-52a7-b167-62124de91073	EAS
406ade39-50db-54b2-ae06-a1f3f6107284	EUR
4094603b-f6c0-5853-bf52-b0aad8a75f9b	EAS
40a4deef-f141-597a-9c45-adc61cb7967a	NoCODE
40e9cb0d-7e64-5226-a7d1-dcaee9ba9862	SAS
40ec7bb0-7f5c-5fab-bb2b-bacd092b2f54	NoCODE
41218a90-19c5-5f28-b73b-841e75b82d17	NoCODE
416db4f1-9443-594e-a4b7-bccc5ba59b02	AMR
41b69bf8-38d7-5e16-afc4-31c584b8a87f	NoCODE
41fde043-744b-5d71-a472-8e1c55e607ac	NoCODE
420c5d91-0ef7-5672-a65f-5a24b02423aa	AMR
421ea574-5b5e-5ec8-889a-65e72c047e25	AFR
429c3f9f-f2e4-57a5-a061-bb4f0a02bcc2	NoCODE
43050fbd-8623-5335-af40-746bb3dc4a9e	NoCODE
43911f0e-0338-54d6-94b2-46b1c1b2b44b	NoCODE
43a54223-7e29-58c8-a859-f141fce96461	NoCODE
44257b00-f43d-540d-ae9a-9d4bd52b7128	NoCODE
44642af4-9eda-56c2-a865-d932ea78bb68	NoCODE
446b3dbc-ad22-5372-b359-42609b495fb2	NoCODE
44be3c96-154b-5490-8300-37b2450aa498	NoCODE
45462616-7b12-542f-b7a3-6c81ce494592	NoCODE
455cbbd1-f012-5b1e-a23f-3310270c32d2	EUR
45e007a4-943f-5d7d-9236-29192fb6d5ef	NoCODE
463480fd-98de-5bce-a24a-a0d3101ebcb4	NoCODE
46cae018-cc0e-50a2-bd53-6edac509d4cf	NoCODE
46fd4f1d-267d-5024-9e49-d86b7b642d58	NoCODE
4737182b-962b-5c24-95e1-b7141126953b	EAS
477ff67a-ac44-5e3c-a773-9e6d95c56823	NoCODE
47980543-c748-52b8-a3a5-c50a76d45c5c	NoCODE
47a0a35a-af08-5917-b04f-3cfe60e68fb9	NoCODE
47b8aa47-bce4-5e9c-b9af-26e24a092c4c	NoCODE
47e0dc1e-675b-5e9d-bda3-edaf1e09215c	NoCODE
481b2d1a-f5e3-5bb3-9dbf-b5f5c160ecb1	NoCODE
483d2f21-1e31-5133-98e2-f63c1b2b9c62	NoCODE
483f1ed8-7686-5b2d-aab3-002aa7b0db05	NoCODE
485ba14f-8f7d-5dc3-99e4-cde0c33c4d40	NoCODE
48b03daa-2b41-50c9-ad5a-d7da3eab45b6	EAS
48b753f1-b7d1-51e7-9618-ad0fec752990	NoCODE
48ccb19c-0c3b-52a7-a1a5-7916091c1313	EAS
